Date,Open,High,Low,Close,Volume,Market Cap
15-09-2020,0.2462645773,0.249245384411,0.243391689766,0.24384953422,1245531094.2615,10983553363.8706
14-09-2020,0.241804292279,0.249822451344,0.240321863439,0.246326732212,1195994289.88708,11095132155.3784
13-09-2020,0.247813855443,0.253136074395,0.238857129689,0.241800915014,1163182194.20471,10883759100.8525
12-09-2020,0.243054941688,0.248752093721,0.241820490753,0.247813855443,1043746082.76935,11154409007.6703
11-09-2020,0.243529944954,0.244815031449,0.237519586992,0.243291517827,1096662166.08891,10950852982.3244
10-09-2020,0.239689218257,0.249184733463,0.239569579841,0.243529944954,1353359148.1427,10961584883.0421
09-09-2020,0.23672337872,0.243213464945,0.234273151359,0.23960930919,1203137131.26997,10785112204.3713
08-09-2020,0.242028519331,0.243872204493,0.232833276286,0.23675349134,1618416970.20536,10656568300.7491
07-09-2020,0.240811706567,0.243431836829,0.231285444379,0.242173727711,1773175897.40384,10900539862.7601
06-09-2020,0.237691993502,0.243732021766,0.231322525051,0.240731035842,1752405004.67978,10835602512.3036
05-09-2020,0.255808034946,0.259605762656,0.23381141156,0.237691993502,2160621038.28413,10698811447.1253
04-09-2020,0.246726214807,0.266138868518,0.244301315088,0.25588258145,1924234479.89327,11517592373.2332
03-09-2020,0.276635775651,0.276726127756,0.245418771377,0.246580446703,1847290355.24869,11098891750.433
02-09-2020,0.295612133564,0.303214428138,0.269150678385,0.276461220694,1985414445.1108,12443862450.1768
01-09-2020,0.281612450818,0.298213250951,0.278455978014,0.295695506101,1730740377.124,13304778880.7613
31-08-2020,0.283065154622,0.284511704561,0.278657794775,0.281765645992,1209798562.7164,12678006729.118
30-08-2020,0.274568467518,0.283596798245,0.274356692138,0.283033739855,1202203314.27545,12735064439.1581
29-08-2020,0.272009054122,0.27683851701,0.269446764792,0.274496579756,1053592719.26741,12350936087.3797
28-08-2020,0.26465763615,0.273301708666,0.261308782731,0.272046010052,1178427813.20433,12240673038.497
27-08-2020,0.27735957285,0.27868831405,0.257512928025,0.264510896504,1471948899.00618,11901631634.3191
26-08-2020,0.277692881627,0.28013619963,0.274876304191,0.277490817183,1194610015.23894,12485661391.1492
25-08-2020,0.28904424612,0.289570874362,0.273311057534,0.277926680758,1403395912.36546,12490744794.1639
24-08-2020,0.285278257217,0.291311522216,0.283117296182,0.289214989482,1237229520.35347,12998070622.1293
23-08-2020,0.2863584558,0.287275500114,0.278828939796,0.285386358179,1183627267.36978,12826002016.1707
22-08-2020,0.280634775404,0.286546384209,0.275895816271,0.286546384209,1417207521.78476,12878136590.1375
21-08-2020,0.292468249104,0.295517983375,0.280258403301,0.280682390163,1833818565.87266,12614593511.4258
20-08-2020,0.290301147677,0.294098971311,0.286078210095,0.292573010209,1749934411.95326,13148988770.0382
19-08-2020,0.303512533221,0.305540168395,0.282474267695,0.29024566101,2163768927.93456,13044391669.7802
18-08-2020,0.314217809234,0.320405684083,0.301843196574,0.303307161578,2126503477.57897,13631409331.3403
17-08-2020,0.303641162366,0.324403485975,0.298660432472,0.314766588315,3001054632.77128,14138912017.3562
16-08-2020,0.299766778151,0.304051841569,0.294289304564,0.303491863566,2078824447.54327,13632465821.4643
15-08-2020,0.300246421204,0.30418815339,0.294890607808,0.299660618499,2260353636.16145,13460371199.8298
14-08-2020,0.297532621755,0.306373855126,0.293853156689,0.300371199257,2246050522.83423,13492289577.4199
13-08-2020,0.28493009945,0.298182147984,0.274354377221,0.297807280832,2061442814.13898,13377121645.4459
12-08-2020,0.284376339378,0.289848920463,0.274191114198,0.284930450925,2001506678.53523,12798710937.7143
11-08-2020,0.294682627354,0.305783313855,0.27460267959,0.284449360825,4542499150.16256,12777100986.5669
10-08-2020,0.288568761108,0.299404612687,0.288568761108,0.29465862597,2108627559.93276,13219165921.5132
09-08-2020,0.294618358384,0.29806063045,0.283924462889,0.288653295856,1391288258.62231,12949750916.5083
08-08-2020,0.294905205997,0.298728147407,0.291251873581,0.294021590561,1355768291.28546,13190586826.8346
07-08-2020,0.30346352226,0.309323659591,0.287328960213,0.294663749831,4278382957.37991,13219395791.4805
06-08-2020,0.303142473289,0.310061855567,0.298339419143,0.303584018575,1946386689.07586,13619582659.2609
