t,v
2014-01-01,753.405480556
2014-01-02,784.280603894
2014-01-03,807.915916232
2014-01-04,828.7459845879999
2014-01-05,904.7600750739999
2014-01-06,917.382725522
2014-01-07,789.593524042
2014-01-08,822.864923038
2014-01-09,825.8665006040001
2014-01-10,854.445450584
2014-01-11,893.6831232820001
2014-01-12,843.286613774
2014-01-13,822.530427934
2014-01-14,815.996819406
2014-01-15,840.1151583520001
2014-01-16,814.4962523859999
2014-01-17,794.5266687980001
2014-01-18,811.37762176
2014-01-19,841.4564324119999
2014-01-20,826.696425026
2014-01-21,824.875769878
2014-01-22,818.534270204
2014-01-23,810.869203164
2014-01-24,779.3849452420001
2014-01-25,805.652675222
2014-01-26,814.847146534
2014-01-27,746.678657078
2014-01-28,785.9504199859999
2014-01-29,794.098192396
2014-01-30,799.5229998400001
2014-01-31,802.998525562
2014-02-01,813.159890274
2014-02-02,814.932732602
2014-02-03,808.5
2014-02-04,801.39173376
2014-02-05,780.917515036
2014-02-06,762.981093598
2014-02-07,708.3660443880001
2014-02-08,679.578138862
2014-02-09,687.314088924
2014-02-10,688.4182184199999
2014-02-11,675.110840662
2014-02-12,652.543163334
2014-02-13,605.83889448
2014-02-14,670.0066271759999
2014-02-15,655.269274756
2014-02-16,620.641121662
2014-02-17,632.4809440480001
2014-02-18,629.1273936299999
2014-02-19,624.838114922
2014-02-20,562.5895875420001
2014-02-21,581.290525096
2014-02-22,611.552214376
2014-02-23,608.198850544
2014-02-24,536.8594994299999
2014-02-25,536.2111523420001
2014-02-26,585.5174387139999
2014-02-27,583.057392048
2014-02-28,551.4270378320001
2014-03-01,566.7533114280001
2014-03-02,563.2946821140001
2014-03-03,676.820067156
2014-03-04,673.387906086
2014-03-05,670.1076203939999
2014-03-06,669.219942962
2014-03-07,632.308556588
2014-03-08,620.6247192339999
2014-03-09,638.418612898
2014-03-10,629.382
2014-03-11,635.03872797
2014-03-12,633.854888054
2014-03-13,641.6025862160001
2014-03-14,629.8350340720001
2014-03-15,637.415090218
2014-03-16,634.8101052919999
2014-03-17,622.84479101
2014-03-18,614.438939238
2014-03-19,611.19495134
2014-03-20,586.953250296
2014-03-21,570.012095636
2014-03-22,564.545464148
2014-03-23,559.690294744
2014-03-24,584.911571278
2014-03-25,583.845073968
2014-03-26,579.087233466
2014-03-27,472.14433733800007
2014-03-28,501.09610014200007
2014-03-29,491.9478371900001
2014-03-30,458.77462072399993
2014-03-31,457.02355456799995
2014-04-01,479.31229068600004
2014-04-02,439.626726544
2014-04-03,449.53955801
2014-04-04,451.900550232
2014-04-05,463.62556298400006
2014-04-06,457.883594364
2014-04-07,448.95518037
2014-04-08,453.33637541999997
2014-04-09,443.06191353799994
2014-04-10,363.851086082
2014-04-11,423.4131448
2014-04-12,423.368963092
2014-04-13,416.86460415399995
2014-04-14,459.09800582400004
2014-04-15,522.29491627
2014-04-16,527.687720992
