t,o
2016-03-16,"{'c': 12.545333333333335, 'h': 13.824333333333335, 'l': 12.493932203389832, 'o': 13.145}"
2016-03-17,"{'c': 11.028888888888893, 'h': 12.594, 'l': 10.491285714285713, 'o': 12.557249999999998}"
2016-03-18,"{'c': 10.921384615384614, 'h': 11.1595, 'l': 8.485, 'o': 11.08}"
2016-03-19,"{'c': 10.524000000000001, 'h': 11.13, 'l': 9.79745, 'o': 11.043466666666665}"
2016-03-20,"{'c': 10.267999999999999, 'h': 10.833666666666666, 'l': 9.578333333333333, 'o': 10.563666666666666}"
2016-03-21,"{'c': 11.909, 'h': 11.975666666666667, 'l': 10.142999999999999, 'o': 10.17625}"
2016-03-22,"{'c': 11.200999999999999, 'h': 11.967, 'l': 11.130666666666668, 'o': 11.88}"
2016-03-23,"{'c': 12.42, 'h': 12.429, 'l': 11.200999999999999, 'o': 11.263142857142856}"
2016-03-24,"{'c': 11.18, 'h': 12.458666666666668, 'l': 10.743000000000002, 'o': 12.44}"
2016-03-25,"{'c': 10.6698, 'h': 11.340333333333335, 'l': 10.5215, 'o': 11.231}"
2016-03-26,"{'c': 11.012, 'h': 11.198, 'l': 10.6102, 'o': 10.672333333333333}"
2016-03-27,"{'c': 10.407, 'h': 10.981, 'l': 10.198, 'o': 10.981}"
2016-03-28,"{'c': 11.656166666666666, 'h': 11.853, 'l': 10.4, 'o': 10.448}"
2016-03-29,"{'c': 11.658, 'h': 11.865833333333333, 'l': 11.3675, 'o': 11.7635}"
2016-03-30,"{'c': 11.847999999999999, 'h': 12.3, 'l': 11.5, 'o': 11.6215}"
2016-03-31,"{'c': 11.386, 'h': 12.015, 'l': 11.290333333333333, 'o': 11.864}"
2016-04-01,"{'c': 11.624, 'h': 11.9415, 'l': 11.398, 'o': 11.398}"
2016-04-02,"{'c': 11.658, 'h': 11.745333333333335, 'l': 11.436, 'o': 11.65}"
2016-04-03,"{'c': 11.61, 'h': 11.749, 'l': 11.431333333333333, 'o': 11.608999999999998}"
2016-04-04,"{'c': 11.15, 'h': 11.659, 'l': 10.9544, 'o': 11.599166666666667}"
2016-04-05,"{'c': 10.857999999999999, 'h': 11.107999999999999, 'l': 10.7, 'o': 11.104000000000001}"
2016-04-06,"{'c': 10.66, 'h': 10.872, 'l': 10.620999999999999, 'o': 10.708}"
2016-04-07,"{'c': 10.137, 'h': 10.78, 'l': 9.99, 'o': 10.668}"
2016-04-08,"{'c': 9.71, 'h': 10.34, 'l': 9.6, 'o': 10.08625}"
2016-04-09,"{'c': 9.137, 'h': 10.1725, 'l': 9.049625, 'o': 9.704857142857145}"
2016-04-10,"{'c': 8.8955, 'h': 9.24, 'l': 7.549618749999999, 'o': 9.204}"
2016-04-11,"{'c': 8.699, 'h': 8.9299, 'l': 8.0175, 'o': 8.9299}"
2016-04-12,"{'c': 7.52, 'h': 8.63255, 'l': 7.220775000000001, 'o': 8.63255}"
2016-04-13,"{'c': 8.05, 'h': 8.785, 'l': 6.9333333333333345, 'o': 7.465}"
2016-04-14,"{'c': 8.47, 'h': 8.86, 'l': 8, 'o': 8.08075}"
2016-04-15,"{'c': 8.3199, 'h': 8.677999999999999, 'l': 8.175, 'o': 8.45}"
2016-04-16,"{'c': 8.67, 'h': 8.67, 'l': 8.1844, 'o': 8.296}"
2016-04-17,"{'c': 9.29, 'h': 9.974, 'l': 8.604571428571429, 'o': 8.604571428571429}"
2016-04-18,"{'c': 9.02762857142857, 'h': 9.514, 'l': 8.908, 'o': 9.295}"
2016-04-19,"{'c': 8.77, 'h': 9.273325, 'l': 8.687524999999999, 'o': 9.052999999999999}"
2016-04-20,"{'c': 8.595333333333334, 'h': 8.980568000000016, 'l': 8.389766666666667, 'o': 8.750623529411763}"
2016-04-21,"{'c': 8.1845, 'h': 8.767199999999999, 'l': 8.058629999999999, 'o': 8.5}"
2016-04-22,"{'c': 7.904285714285713, 'h': 8.3545, 'l': 7.7490700000000015, 'o': 8.2247}"
2016-04-23,"{'c': 8.3934, 'h': 8.706, 'l': 7.809, 'o': 7.909}"
2016-04-24,"{'c': 8.105033333333333, 'h': 8.5, 'l': 8.058733333333333, 'o': 8.328563157894738}"
2016-04-25,"{'c': 7.5600000000000005, 'h': 8.142999999999999, 'l': 7.3285333333333345, 'o': 8.086628571428571}"
2016-04-26,"{'c': 7.415000000000001, 'h': 7.5600000000000005, 'l': 7.13, 'o': 7.5600000000000005}"
2016-04-27,"{'c': 7.8370000000000015, 'h': 7.962433333333334, 'l': 7.325, 'o': 7.4}"
2016-04-28,"{'c': 7.164, 'h': 7.869433333333332, 'l': 7.164, 'o': 7.725}"
2016-04-29,"{'c': 7.402, 'h': 7.706666666666668, 'l': 7.162999999999999, 'o': 7.162999999999999}"
2016-04-30,"{'c': 8.79216, 'h': 9.249883333333333, 'l': 7.4351, 'o': 7.4351}"
2016-05-01,"{'c': 8.784042857142856, 'h': 8.951, 'l': 8.377925000000001, 'o': 8.732750000000001}"
2016-05-02,"{'c': 10.079, 'h': 10.190636363636363, 'l': 8.763349999999999, 'o': 8.832939999999997}"
2016-05-03,"{'c': 9.371, 'h': 10.079, 'l': 9.00665, 'o': 10.074080769230774}"
2016-05-04,"{'c': 9.3614, 'h': 9.9875, 'l': 9.27, 'o': 9.3819}"
2016-05-05,"{'c': 9.75, 'h': 9.981275, 'l': 9.3, 'o': 9.4}"
2016-05-06,"{'c': 9.4325, 'h': 9.97, 'l': 9.150363636363627, 'o': 9.804}"
2016-05-07,"{'c': 9.408, 'h': 9.546, 'l': 9.23, 'o': 9.45}"
2016-05-08,"{'c': 9.51, 'h': 9.64, 'l': 9.0155375, 'o': 9.418}"
2016-05-09,"{'c': 9.36, 'h': 10, 'l': 9.36, 'o': 9.5}"
2016-05-10,"{'c': 9.68, 'h': 9.95, 'l': 9.36, 'o': 9.36}"
2016-05-11,"{'c': 10.43, 'h': 10.47, 'l': 9.68, 'o': 9.68}"
2016-05-12,"{'c': 10.2, 'h': 12, 'l': 10, 'o': 10.43}"
2016-05-13,"{'c': 10.98, 'h': 11.59, 'l': 10.2, 'o': 10.2}"
2016-05-14,"{'c': 10.25, 'h': 10.98, 'l': 10.1, 'o': 10.98}"
2016-05-15,"{'c': 10.06, 'h': 10.59, 'l': 10.06, 'o': 10.25}"
2016-05-16,"{'c': 11.37, 'h': 11.41, 'l': 10.06, 'o': 10.06}"
2016-05-17,"{'c': 12.28, 'h': 12.49, 'l': 11.28, 'o': 11.36}"
2016-05-18,"{'c': 13.708000000000002, 'h': 13.76, 'l': 12.28, 'o': 12.28}"
2016-05-19,"{'c': 14.5, 'h': 14.5, 'l': 13.62, 'o': 13.7}"
2016-05-20,"{'c': 13.74, 'h': 14.75, 'l': 13.566, 'o': 14.5}"
2016-05-21,"{'c': 13.98, 'h': 13.98, 'l': 13.09, 'o': 13.544}"
2016-05-22,"{'c': 14.210000000000004, 'h': 14.386, 'l': 13.75, 'o': 13.98}"
2016-05-23,"{'c': 13.448000000000002, 'h': 14.43, 'l': 13.43, 'o': 14.210000000000004}"
2016-05-24,"{'c': 12.82, 'h': 13.789999999999996, 'l': 12.12, 'o': 13.460000000000004}"
2016-05-25,"{'c': 12.65, 'h': 12.89, 'l': 11.83, 'o': 12.822000000000001}"
2016-05-26,"{'c': 12.6, 'h': 12.9, 'l': 12.2, 'o': 12.65}"
2016-05-27,"{'c': 11.39, 'h': 12.61, 'l': 10.64, 'o': 12.6}"
2016-05-28,"{'c': 11.84, 'h': 12.27, 'l': 10.41, 'o': 11.39}"
2016-05-29,"{'c': 12.53, 'h': 12.73, 'l': 11.602, 'o': 11.84}"
2016-05-30,"{'c': 12.52, 'h': 12.79, 'l': 12.41, 'o': 12.53}"
2016-05-31,"{'c': 14.210000000000004, 'h': 14.332, 'l': 12.52, 'o': 12.52}"
2016-06-01,"{'c': 13.919999999999998, 'h': 14.35, 'l': 13.539999999999996, 'o': 14.214000000000002}"
2016-06-02,"{'c': 13.9, 'h': 14.13, 'l': 13.82, 'o': 13.968}"
2016-06-03,"{'c': 14.15, 'h': 14.746, 'l': 13.5, 'o': 13.9}"
2016-06-04,"{'c': 13.86, 'h': 14.15, 'l': 13.64, 'o': 14.15}"
2016-06-05,"{'c': 13.91, 'h': 13.911999999999995, 'l': 13.7, 'o': 13.86}"
2016-06-06,"{'c': 14, 'h': 14.248, 'l': 13.830000000000002, 'o': 13.91}"
2016-06-07,"{'c': 14.64, 'h': 14.64, 'l': 13.956, 'o': 14}"
2016-06-08,"{'c': 14.51, 'h': 14.69, 'l': 14.38, 'o': 14.674}"
2016-06-09,"{'c': 14.470000000000002, 'h': 14.55, 'l': 14.382, 'o': 14.51}"
2016-06-10,"{'c': 13.970000000000002, 'h': 14.470000000000002, 'l': 13.845999999999998, 'o': 14.470000000000002}"
2016-06-11,"{'c': 14.11, 'h': 14.16, 'l': 13.84, 'o': 13.970000000000002}"
2016-06-12,"{'c': 15.638, 'h': 15.75, 'l': 14.11, 'o': 14.11}"
2016-06-13,"{'c': 17.63, 'h': 17.64, 'l': 15.63, 'o': 15.648}"
2016-06-14,"{'c': 18.9, 'h': 19.07, 'l': 16.663999999999998, 'o': 17.63}"
2016-06-15,"{'c': 18.45, 'h': 18.97, 'l': 17.51, 'o': 18.9}"
2016-06-16,"{'c': 20.93, 'h': 23.146000000000004, 'l': 18.45, 'o': 18.45}"
2016-06-17,"{'c': 15.66, 'h': 21.428, 'l': 13.75, 'o': 20.921999999999997}"
2016-06-18,"{'c': 11.03, 'h': 15.669999999999998, 'l': 9, 'o': 15.66}"
2016-06-19,"{'c': 12.59, 'h': 14.566000000000004, 'l': 10.556000000000001, 'o': 11.03}"
2016-06-20,"{'c': 11.51, 'h': 12.59, 'l': 10.754000000000001, 'o': 12.59}"
2016-06-21,"{'c': 13.73, 'h': 13.73, 'l': 11.3, 'o': 11.51}"
2016-06-22,"{'c': 13.43, 'h': 15.75, 'l': 13.37, 'o': 13.416000000000002}"
2016-06-23,"{'c': 13.93, 'h': 14.034, 'l': 12.7, 'o': 13.43}"
2016-06-24,"{'c': 14.2, 'h': 14.330000000000002, 'l': 13.330000000000002, 'o': 13.918}"
2016-06-25,"{'c': 14.49, 'h': 14.8, 'l': 14.19, 'o': 14.2}"
2016-06-26,"{'c': 13.88, 'h': 14.51, 'l': 13.710000000000004, 'o': 14.49}"
2016-06-27,"{'c': 15.289999999999996, 'h': 15.720000000000002, 'l': 13.63, 'o': 13.88}"
2016-06-28,"{'c': 12.33, 'h': 15.289999999999996, 'l': 11.572000000000001, 'o': 15.289999999999996}"
2016-06-29,"{'c': 12.95, 'h': 13, 'l': 11.75, 'o': 12.33}"
2016-06-30,"{'c': 12.5, 'h': 12.95, 'l': 12.08, 'o': 12.95}"
2016-07-01,"{'c': 12.25, 'h': 12.5, 'l': 11.755999999999998, 'o': 12.5}"
2016-07-02,"{'c': 12.09, 'h': 12.21, 'l': 11.97, 'o': 12.21}"
2016-07-03,"{'c': 11.8, 'h': 12.37, 'l': 11.544, 'o': 12.078}"
2016-07-04,"{'c': 11.47, 'h': 11.82, 'l': 11.41, 'o': 11.76}"
2016-07-05,"{'c': 11.49, 'h': 11.99, 'l': 9.736, 'o': 11.474}"
2016-07-06,"{'c': 11, 'h': 11.9, 'l': 10.51, 'o': 11.49}"
2016-07-07,"{'c': 10.11, 'h': 11, 'l': 9.872, 'o': 11}"
2016-07-08,"{'c': 11.57, 'h': 11.88, 'l': 10.11, 'o': 10.11}"
2016-07-09,"{'c': 11.028, 'h': 11.88, 'l': 10.87, 'o': 11.57}"
2016-07-10,"{'c': 11.13, 'h': 11.2, 'l': 10.9, 'o': 11.01}"
2016-07-11,"{'c': 10.83, 'h': 11.13, 'l': 10.4, 'o': 11.13}"
2016-07-12,"{'c': 10.87, 'h': 11.35, 'l': 10.49, 'o': 10.83}"
2016-07-13,"{'c': 10.76, 'h': 11.3, 'l': 10.5, 'o': 10.87}"
2016-07-14,"{'c': 11.51, 'h': 11.71, 'l': 10.72, 'o': 10.76}"
2016-07-15,"{'c': 12.2, 'h': 12.970000000000002, 'l': 11.51, 'o': 11.51}"
2016-07-16,"{'c': 11.78, 'h': 12.21, 'l': 10.2, 'o': 12.2}"
2016-07-17,"{'c': 11.32, 'h': 11.8, 'l': 11.13, 'o': 11.78}"
2016-07-18,"{'c': 11.13, 'h': 11.79, 'l': 11.13, 'o': 11.32}"
2016-07-19,"{'c': 11.94, 'h': 12.276000000000002, 'l': 11.13, 'o': 11.13}"
2016-07-20,"{'c': 12.678, 'h': 13.995999999999999, 'l': 11.74, 'o': 11.94}"
2016-07-21,"{'c': 13.039999999999996, 'h': 13.1, 'l': 12.07, 'o': 12.51}"
2016-07-22,"{'c': 14.89, 'h': 14.89, 'l': 12.895999999999995, 'o': 13.039999999999996}"
2016-07-23,"{'c': 14.45, 'h': 15.720000000000002, 'l': 14.45, 'o': 14.89}"
2016-07-24,"{'c': 12.34, 'h': 14.89, 'l': 12.32, 'o': 14.45}"
2016-07-25,"{'c': 13.8, 'h': 13.8, 'l': 12.34, 'o': 12.34}"
2016-07-26,"{'c': 12.04, 'h': 14.15, 'l': 11.964, 'o': 13.848000000000004}"
2016-07-27,"{'c': 13.3, 'h': 13.45, 'l': 12.03, 'o': 12.04}"
2016-07-28,"{'c': 13.216, 'h': 13.3, 'l': 12.66, 'o': 13.3}"
2016-07-29,"{'c': 13.1, 'h': 13.14, 'l': 12.72, 'o': 13.1}"
2016-07-30,"{'c': 12.696, 'h': 13.1, 'l': 12.67, 'o': 13.1}"
2016-07-31,"{'c': 11.88, 'h': 12.7, 'l': 11.822000000000001, 'o': 12.65}"
2016-08-01,"{'c': 11.2, 'h': 11.89, 'l': 11, 'o': 11.88}"
2016-08-02,"{'c': 8.988000000000003, 'h': 11.2, 'l': 7.95, 'o': 11.2}"
2016-08-03,"{'c': 10.44, 'h': 10.44, 'l': 8.75, 'o': 8.798}"
2016-08-04,"{'c': 11.58, 'h': 12.49, 'l': 10.2, 'o': 10.44}"
2016-08-05,"{'c': 11.03, 'h': 11.64, 'l': 11, 'o': 11.58}"
2016-08-06,"{'c': 11.03, 'h': 11.36, 'l': 10.65, 'o': 11.03}"
2016-08-07,"{'c': 11.01, 'h': 11.21, 'l': 10.86, 'o': 11.03}"
2016-08-08,"{'c': 11.4, 'h': 11.5, 'l': 11.01, 'o': 11.01}"
2016-08-09,"{'c': 12.35, 'h': 12.5, 'l': 11.276, 'o': 11.4}"
2016-08-10,"{'c': 12.31, 'h': 12.68, 'l': 11.966000000000005, 'o': 12.361999999999998}"
2016-08-11,"{'c': 11.75, 'h': 12.46, 'l': 11.68, 'o': 12.314}"
2016-08-12,"{'c': 11.89, 'h': 12.12, 'l': 11.762, 'o': 11.762}"
2016-08-13,"{'c': 11.73, 'h': 11.95, 'l': 11.57, 'o': 11.89}"
2016-08-14,"{'c': 11.21, 'h': 11.76, 'l': 11.21, 'o': 11.73}"
2016-08-15,"{'c': 11.38, 'h': 11.51, 'l': 11.02, 'o': 11.21}"
2016-08-16,"{'c': 11.23, 'h': 11.38, 'l': 11.03, 'o': 11.38}"
2016-08-17,"{'c': 11, 'h': 11.27, 'l': 10.84, 'o': 11.23}"
2016-08-18,"{'c': 10.84, 'h': 11.74, 'l': 10.8, 'o': 11}"
2016-08-19,"{'c': 10.85, 'h': 11, 'l': 10.8, 'o': 10.84}"
2016-08-20,"{'c': 11.05, 'h': 11.43, 'l': 10.85, 'o': 10.85}"
2016-08-21,"{'c': 11.3, 'h': 11.31, 'l': 11.01, 'o': 11.05}"
2016-08-22,"{'c': 11.41, 'h': 11.48, 'l': 11.15, 'o': 11.335999999999999}"
2016-08-23,"{'c': 11.07, 'h': 11.41, 'l': 11.04, 'o': 11.41}"
2016-08-24,"{'c': 11.02, 'h': 11.35, 'l': 11.02, 'o': 11.07}"
2016-08-25,"{'c': 11.26, 'h': 11.35, 'l': 11.02, 'o': 11.02}"
2016-08-26,"{'c': 11.32, 'h': 11.49, 'l': 11.22, 'o': 11.26}"
2016-08-27,"{'c': 11.3, 'h': 11.44, 'l': 11.19, 'o': 11.32}"
2016-08-28,"{'c': 11.09, 'h': 11.3, 'l': 11.02, 'o': 11.3}"
2016-08-29,"{'c': 11.08, 'h': 11.24, 'l': 10.93, 'o': 11.082}"
2016-08-30,"{'c': 11.3, 'h': 11.3, 'l': 11.06, 'o': 11.08}"
2016-08-31,"{'c': 11.744000000000002, 'h': 13.332, 'l': 11.2, 'o': 11.3}"
2016-09-01,"{'c': 12.24, 'h': 13.5, 'l': 11.7, 'o': 11.708000000000002}"
2016-09-02,"{'c': 12.51, 'h': 12.51, 'l': 11.89, 'o': 12.24}"
2016-09-03,"{'c': 12, 'h': 12.51, 'l': 11.61, 'o': 12.51}"
2016-09-04,"{'c': 11.8, 'h': 12.09, 'l': 11.58, 'o': 12.036}"
2016-09-05,"{'c': 11.98, 'h': 12, 'l': 11.7, 'o': 11.8}"
2016-09-06,"{'c': 11.99, 'h': 12, 'l': 11.5, 'o': 11.98}"
2016-09-07,"{'c': 11.69, 'h': 11.99, 'l': 11.57, 'o': 11.99}"
2016-09-08,"{'c': 11.48, 'h': 11.78, 'l': 11.3, 'o': 11.69}"
2016-09-09,"{'c': 11.76, 'h': 11.76, 'l': 10.5, 'o': 11.48}"
2016-09-10,"{'c': 12, 'h': 12, 'l': 11.452, 'o': 11.76}"
2016-09-11,"{'c': 11.73, 'h': 12.05, 'l': 11.73, 'o': 12}"
2016-09-12,"{'c': 11.88, 'h': 11.92, 'l': 11.61, 'o': 11.73}"
2016-09-13,"{'c': 12.02, 'h': 12.16, 'l': 11.84, 'o': 11.88}"
2016-09-14,"{'c': 12, 'h': 12.02, 'l': 11.91, 'o': 12.02}"
2016-09-15,"{'c': 12, 'h': 12.02, 'l': 11.85, 'o': 12}"
2016-09-16,"{'c': 12.5, 'h': 12.75, 'l': 11.93, 'o': 12}"
2016-09-17,"{'c': 12.7, 'h': 12.8, 'l': 12.458, 'o': 12.5}"
2016-09-18,"{'c': 12.4, 'h': 12.91, 'l': 12.2, 'o': 12.7}"
2016-09-19,"{'c': 13.186000000000002, 'h': 13.186000000000002, 'l': 12.4, 'o': 12.4}"
2016-09-20,"{'c': 14.18, 'h': 14.45, 'l': 13.05, 'o': 13.36}"
2016-09-21,"{'c': 13.91, 'h': 14.45, 'l': 13, 'o': 14.114}"
2016-09-22,"{'c': 13.2, 'h': 13.845999999999998, 'l': 12.522, 'o': 13.845999999999998}"
2016-09-23,"{'c': 13.49, 'h': 13.59, 'l': 13, 'o': 13.2}"
2016-09-24,"{'c': 12.970000000000002, 'h': 13.5, 'l': 12.84, 'o': 13.49}"
2016-09-25,"{'c': 13.029999999999998, 'h': 13.11, 'l': 12.9, 'o': 12.970000000000002}"
2016-09-26,"{'c': 13.01, 'h': 13.16, 'l': 12.9, 'o': 13.029999999999998}"
2016-09-27,"{'c': 13.029999999999998, 'h': 13.669999999999998, 'l': 12.985999999999999, 'o': 13.01}"
2016-09-28,"{'c': 13.38, 'h': 13.68, 'l': 13.029999999999998, 'o': 13.029999999999998}"
2016-09-29,"{'c': 13.244000000000002, 'h': 13.38, 'l': 13.13, 'o': 13.38}"
2016-09-30,"{'c': 13.210000000000004, 'h': 13.44, 'l': 13.14, 'o': 13.24}"
2016-10-01,"{'c': 13.279999999999998, 'h': 13.41, 'l': 13.13, 'o': 13.210000000000004}"
2016-10-02,"{'c': 13.3, 'h': 13.3, 'l': 13.13, 'o': 13.279999999999998}"
2016-10-03,"{'c': 13.527999999999999, 'h': 13.527999999999999, 'l': 13.1, 'o': 13.3}"
2016-10-04,"{'c': 13.4, 'h': 13.61, 'l': 13.25, 'o': 13.57}"
2016-10-05,"{'c': 13.1, 'h': 13.7, 'l': 13.1, 'o': 13.4}"
2016-10-06,"{'c': 12.99, 'h': 13.419999999999998, 'l': 12.74, 'o': 13.1}"
2016-10-07,"{'c': 12.82, 'h': 13.49, 'l': 12.36, 'o': 12.99}"
2016-10-08,"{'c': 12.23, 'h': 12.82, 'l': 12.14, 'o': 12.82}"
2016-10-09,"{'c': 12.33, 'h': 12.7, 'l': 12.03, 'o': 12.23}"
2016-10-10,"{'c': 11.75, 'h': 12.33, 'l': 11.65, 'o': 12.33}"
2016-10-11,"{'c': 11.71, 'h': 12.22, 'l': 11.71, 'o': 11.75}"
2016-10-12,"{'c': 11.78, 'h': 11.98, 'l': 11.65, 'o': 11.71}"
2016-10-13,"{'c': 12.13, 'h': 12.19, 'l': 11.78, 'o': 11.78}"
2016-10-14,"{'c': 11.93, 'h': 12.08, 'l': 11.87, 'o': 12.05}"
2016-10-15,"{'c': 12, 'h': 12.02, 'l': 11.82, 'o': 11.93}"
2016-10-16,"{'c': 11.98, 'h': 12.04, 'l': 11.95, 'o': 12}"
2016-10-17,"{'c': 12.12, 'h': 12.12, 'l': 11.83, 'o': 11.98}"
2016-10-18,"{'c': 12.51, 'h': 12.960000000000004, 'l': 12.18, 'o': 12.2}"
2016-10-19,"{'c': 11.93, 'h': 12.960000000000004, 'l': 11.82, 'o': 12.51}"
2016-10-20,"{'c': 12.08, 'h': 12.18, 'l': 11.86, 'o': 11.888}"
2016-10-21,"{'c': 12, 'h': 12.08, 'l': 12, 'o': 12.08}"
2016-10-22,"{'c': 12.04, 'h': 12.08, 'l': 12, 'o': 12}"
2016-10-23,"{'c': 12.05, 'h': 12.08, 'l': 12, 'o': 12.04}"
2016-10-24,"{'c': 11.97, 'h': 12.05, 'l': 11.85, 'o': 12.05}"
2016-10-25,"{'c': 11.35, 'h': 12.2, 'l': 11.13, 'o': 11.97}"
2016-10-26,"{'c': 11.57, 'h': 11.87, 'l': 11.39, 'o': 11.4}"
2016-10-27,"{'c': 11.43, 'h': 11.58, 'l': 11.3, 'o': 11.57}"
2016-10-28,"{'c': 11.07, 'h': 11.43, 'l': 11.05, 'o': 11.43}"
2016-10-29,"{'c': 10.36, 'h': 11.56, 'l': 9.88, 'o': 11.07}"
2016-10-30,"{'c': 11.31, 'h': 11.43, 'l': 10.36, 'o': 10.36}"
2016-10-31,"{'c': 11.01, 'h': 11.56, 'l': 11.01, 'o': 11.3}"
2016-11-01,"{'c': 10.7, 'h': 11.38, 'l': 10.41, 'o': 11.01}"
2016-11-02,"{'c': 10.77, 'h': 11.43, 'l': 10.62, 'o': 10.7}"
2016-11-03,"{'c': 10.82, 'h': 11.19, 'l': 10.76, 'o': 10.77}"
2016-11-04,"{'c': 11.2, 'h': 11.2, 'l': 10.82, 'o': 10.82}"
2016-11-05,"{'c': 11.07, 'h': 11.2, 'l': 11.01, 'o': 11.2}"
2016-11-06,"{'c': 10.89, 'h': 11.15, 'l': 10.89, 'o': 11.07}"
2016-11-07,"{'c': 11, 'h': 11.2, 'l': 10.89, 'o': 10.89}"
2016-11-08,"{'c': 10.91, 'h': 11.19, 'l': 10.86, 'o': 11}"
2016-11-09,"{'c': 10.79, 'h': 10.98, 'l': 10.45, 'o': 10.91}"
2016-11-10,"{'c': 10.6, 'h': 11.95, 'l': 10.59, 'o': 10.79}"
2016-11-11,"{'c': 10.26, 'h': 10.73, 'l': 10.26, 'o': 10.595999999999998}"
2016-11-12,"{'c': 9.68, 'h': 10.33, 'l': 9.68, 'o': 10.26}"
2016-11-13,"{'c': 10.21, 'h': 10.22, 'l': 9.854, 'o': 9.854}"
2016-11-14,"{'c': 10.04, 'h': 10.21, 'l': 9.86, 'o': 10.21}"
2016-11-15,"{'c': 10.4, 'h': 10.4, 'l': 9.9, 'o': 10.04}"
2016-11-16,"{'c': 9.96, 'h': 10.4, 'l': 9.95, 'o': 10.4}"
2016-11-17,"{'c': 9.96, 'h': 10.36, 'l': 9.93, 'o': 9.96}"
2016-11-18,"{'c': 9.52, 'h': 10, 'l': 9.52, 'o': 9.96}"
2016-11-19,"{'c': 9.85, 'h': 9.92, 'l': 9.51, 'o': 9.52}"
2016-11-20,"{'c': 9.5, 'h': 9.86, 'l': 9.5, 'o': 9.85}"
2016-11-21,"{'c': 9.61, 'h': 9.61, 'l': 9.5, 'o': 9.5}"
2016-11-22,"{'c': 9.87, 'h': 10.19, 'l': 9.55, 'o': 9.61}"
2016-11-23,"{'c': 9.79, 'h': 9.97, 'l': 9.78, 'o': 9.87}"
2016-11-24,"{'c': 9.25, 'h': 9.91, 'l': 9.01, 'o': 9.79}"
2016-11-25,"{'c': 9.51, 'h': 9.69, 'l': 9.2, 'o': 9.25}"
2016-11-26,"{'c': 9.5, 'h': 9.57, 'l': 9.31, 'o': 9.51}"
2016-11-27,"{'c': 9.41, 'h': 9.5, 'l': 8.9, 'o': 9.5}"
2016-11-28,"{'c': 8.77, 'h': 9.41, 'l': 8.77, 'o': 9.41}"
2016-11-29,"{'c': 8.37, 'h': 9.02, 'l': 8, 'o': 8.77}"
2016-11-30,"{'c': 8.64, 'h': 8.998000000000003, 'l': 8.22, 'o': 8.37}"
2016-12-01,"{'c': 8.4, 'h': 8.64, 'l': 8.25, 'o': 8.64}"
2016-12-02,"{'c': 7.639999999999999, 'h': 8.434000000000001, 'l': 7.25, 'o': 8.4}"
2016-12-03,"{'c': 8.14, 'h': 8.25, 'l': 7.639999999999999, 'o': 7.639999999999999}"
2016-12-04,"{'c': 7.5, 'h': 8.16, 'l': 7.5, 'o': 8.14}"
2016-12-05,"{'c': 6.769999999999999, 'h': 7.62, 'l': 6.65, 'o': 7.5}"
2016-12-06,"{'c': 7.8, 'h': 8.029999999999998, 'l': 5.99, 'o': 6.783999999999999}"
2016-12-07,"{'c': 8.45, 'h': 8.56, 'l': 7.409999999999998, 'o': 7.814}"
2016-12-08,"{'c': 8.23, 'h': 8.75, 'l': 8.23, 'o': 8.45}"
2016-12-09,"{'c': 8.62, 'h': 8.67, 'l': 8.02, 'o': 8.23}"
2016-12-10,"{'c': 8.31, 'h': 8.64, 'l': 8.169999999999998, 'o': 8.62}"
2016-12-11,"{'c': 8.46, 'h': 8.56, 'l': 8.1, 'o': 8.31}"
2016-12-12,"{'c': 8.67, 'h': 8.67, 'l': 8.3, 'o': 8.46}"
2016-12-13,"{'c': 8.47, 'h': 8.67, 'l': 8.33, 'o': 8.67}"
2016-12-14,"{'c': 8.46, 'h': 8.47, 'l': 8.31, 'o': 8.47}"
2016-12-15,"{'c': 7.75, 'h': 8.46, 'l': 7.75, 'o': 8.46}"
2016-12-16,"{'c': 7.889999999999999, 'h': 7.889999999999999, 'l': 7.656000000000001, 'o': 7.75}"
2016-12-17,"{'c': 7.65, 'h': 7.889999999999999, 'l': 7.540000000000001, 'o': 7.889999999999999}"
2016-12-18,"{'c': 7.94, 'h': 7.980000000000001, 'l': 7.65, 'o': 7.65}"
2016-12-19,"{'c': 7.69, 'h': 7.94, 'l': 7.69, 'o': 7.94}"
2016-12-20,"{'c': 7.58, 'h': 7.99, 'l': 7.58, 'o': 7.69}"
2016-12-21,"{'c': 7.95, 'h': 7.99, 'l': 7.58, 'o': 7.58}"
2016-12-22,"{'c': 7.767999999999999, 'h': 7.95, 'l': 7.519999999999999, 'o': 7.95}"
2016-12-23,"{'c': 7.25, 'h': 7.8100000000000005, 'l': 7.194000000000001, 'o': 7.8100000000000005}"
2016-12-24,"{'c': 7.290000000000001, 'h': 7.409999999999998, 'l': 7.19, 'o': 7.25}"
2016-12-25,"{'c': 7.25, 'h': 7.290000000000001, 'l': 7.2, 'o': 7.290000000000001}"
2016-12-26,"{'c': 7.290000000000001, 'h': 7.290000000000001, 'l': 7.17, 'o': 7.225999999999999}"
2016-12-27,"{'c': 7.230000000000001, 'h': 7.49, 'l': 7.12, 'o': 7.290000000000001}"
2016-12-28,"{'c': 8.54, 'h': 8.54, 'l': 7.220000000000001, 'o': 7.230000000000001}"
