t,o
2015-09-27,"{'c': 0.7289045691504621, 'h': 0.7912070647409051, 'l': 0.7222062760055461, 'o': 0.785283809514803}"
2015-09-28,"{'c': 0.5765046573588071, 'h': 0.73100567951366, 'l': 0.556830608719184, 'o': 0.727692353912603}"
2015-09-29,"{'c': 0.6602300456258531, 'h': 0.683863947411336, 'l': 0.559820729308181, 'o': 0.5808425714324881}"
2015-09-30,"{'c': 0.7412454591773441, 'h': 0.7537622840196221, 'l': 0.634143479153358, 'o': 0.665085985259878}"
2015-10-01,"{'c': 0.6789092910769511, 'h': 0.7361325396320131, 'l': 0.655071842778951, 'o': 0.7339719041700421}"
2015-10-02,"{'c': 0.6810384549085691, 'h': 0.6992126205865801, 'l': 0.651273179218263, 'o': 0.6789092910769511}"
2015-10-03,"{'c': 0.6860427594268841, 'h': 0.715074472989887, 'l': 0.676074116720741, 'o': 0.6810384549085691}"
2015-10-04,"{'c': 0.6750175091175761, 'h': 0.6985681603592401, 'l': 0.661902733492414, 'o': 0.6860201491700021}"
2015-10-05,"{'c': 0.6295696946875841, 'h': 0.6835405326227031, 'l': 0.62899461676774, 'o': 0.672877258505709}"
2015-10-06,"{'c': 0.6526873082068251, 'h': 0.659263970800363, 'l': 0.603611290197652, 'o': 0.624835946954169}"
2015-10-07,"{'c': 0.611480671740395, 'h': 0.669595218795144, 'l': 0.599645712133227, 'o': 0.652956550473171}"
2015-10-08,"{'c': 0.652907870425532, 'h': 0.652907870425532, 'l': 0.590816942183067, 'o': 0.6120092769577541}"
2015-10-09,"{'c': 0.6500276559424121, 'h': 0.6960970843737251, 'l': 0.6320278103818721, 'o': 0.65767171808596}"
2015-10-10,"{'c': 0.631383266395889, 'h': 0.654198909472547, 'l': 0.624099182288335, 'o': 0.6382203242272501}"
2015-10-11,"{'c': 0.638232151197742, 'h': 0.6444365921674371, 'l': 0.6187633078771271, 'o': 0.6312877162111411}"
2015-10-12,"{'c': 0.627778959970787, 'h': 0.6618857429045011, 'l': 0.6249868076567641, 'o': 0.6385240852701091}"
2015-10-13,"{'c': 0.6126859472071261, 'h': 0.6355779161082491, 'l': 0.5976606421921931, 'o': 0.627778959970787}"
2015-10-14,"{'c': 0.5264634494070011, 'h': 0.616964220418854, 'l': 0.48549278333460705, 'o': 0.616964220418854}"
2015-10-15,"{'c': 0.5607659243292781, 'h': 0.575191225462329, 'l': 0.514098743632113, 'o': 0.5308299169856271}"
2015-10-16,"{'c': 0.5334815109186141, 'h': 0.570466611501799, 'l': 0.52311891500356, 'o': 0.56148549275892}"
2015-10-17,"{'c': 0.549402561809342, 'h': 0.5630678416946461, 'l': 0.5256017754525321, 'o': 0.5344345605944331}"
2015-10-18,"{'c': 0.522082689826535, 'h': 0.5566348746527621, 'l': 0.508564396585526, 'o': 0.549402561809342}"
2015-10-19,"{'c': 0.49107455400158206, 'h': 0.524910125354475, 'l': 0.48050990130712, 'o': 0.5221648094338961}"
2015-10-20,"{'c': 0.435683366129035, 'h': 0.505115016424006, 'l': 0.43274802814621605, 'o': 0.490229751974728}"
2015-10-21,"{'c': 0.45332638977349005, 'h': 0.49358433504700905, 'l': 0.42293824727886803, 'o': 0.43288725213545604}"
2015-10-22,"{'c': 0.5684342994528611, 'h': 0.615126947964978, 'l': 0.42619844622076103, 'o': 0.431974424099668}"
2015-10-23,"{'c': 0.5446456657267741, 'h': 0.6300561014353121, 'l': 0.5084773522942201, 'o': 0.5677895955391601}"
2015-10-24,"{'c': 0.564492838601753, 'h': 0.583645457662307, 'l': 0.521553336693807, 'o': 0.550911431576372}"
2015-10-25,"{'c': 0.619314477188865, 'h': 0.6913835415380081, 'l': 0.559136147240344, 'o': 0.564492838601753}"
2015-10-26,"{'c': 0.734326847745132, 'h': 0.75952492187288, 'l': 0.5995238289802041, 'o': 0.625580676279965}"
