t,o
2014-02-26,"{'c': 585.5174387139999, 'h': 608.375826668, 'l': 531.97559965, 'o': 533.878873808}"
2014-02-27,"{'c': 583.057392048, 'h': 598.801086342, 'l': 571.9222766299999, 'o': 585.0973549639999}"
2014-02-28,"{'c': 551.4270378320001, 'h': 588.393928822, 'l': 546.7525106119999, 'o': 583.5329668100001}"
2014-03-01,"{'c': 566.7533114280001, 'h': 575.60276129, 'l': 540.1954630719999, 'o': 545.2975974020001}"
2014-03-02,"{'c': 563.2946821140001, 'h': 570.727118068, 'l': 554.4801410580001, 'o': 567.455792414}"
2014-03-03,"{'c': 676.820067156, 'h': 701.761155626, 'l': 563.155987648, 'o': 563.155987648}"
2014-03-04,"{'c': 673.387906086, 'h': 698.3208707240001, 'l': 661.947074628, 'o': 677.525998348}"
2014-03-05,"{'c': 670.1076203939999, 'h': 678.596890334, 'l': 652.8833964400001, 'o': 673.6821172719999}"
2014-03-06,"{'c': 669.219942962, 'h': 674.333896218, 'l': 652.725958834, 'o': 669.3986009500001}"
2014-03-07,"{'c': 632.308556588, 'h': 669.657444242, 'l': 616.67576492, 'o': 669.657444242}"
2014-03-08,"{'c': 620.6247192339999, 'h': 637.7760993620001, 'l': 606.4437888559999, 'o': 632.753326478}"
2014-03-09,"{'c': 638.418612898, 'h': 648.47835235, 'l': 614.418, 'o': 617.992392558}"
2014-03-10,"{'c': 629.382, 'h': 645.9129185439999, 'l': 611.802888792, 'o': 638.836986358}"
2014-03-11,"{'c': 635.03872797, 'h': 638.70285338, 'l': 616.3467745959999, 'o': 628.5010288619999}"
2014-03-12,"{'c': 633.854888054, 'h': 652.618486608, 'l': 631.88079376, 'o': 632.2596030340001}"
2014-03-13,"{'c': 641.6025862160001, 'h': 649.0603076919999, 'l': 633.3359216380001, 'o': 634.9895856400001}"
2014-03-14,"{'c': 629.8350340720001, 'h': 644.606699148, 'l': 626.044033752, 'o': 640.7370046399999}"
2014-03-15,"{'c': 637.415090218, 'h': 639.8207474799999, 'l': 626.684066836, 'o': 630.946389436}"
2014-03-16,"{'c': 634.8101052919999, 'h': 638.749396534, 'l': 630.4372254980001, 'o': 636.844331602}"
2014-03-17,"{'c': 622.84479101, 'h': 634.872, 'l': 619.9905736480001, 'o': 634.273459464}"
2014-03-18,"{'c': 614.438939238, 'h': 623.840735556, 'l': 600.459452008, 'o': 622.642869692}"
2014-03-19,"{'c': 611.19495134, 'h': 620.9851802139999, 'l': 606.401453536, 'o': 613.7124100819999}"
2014-03-20,"{'c': 586.953250296, 'h': 610.718668794, 'l': 583.6317116719999, 'o': 610.718668794}"
2014-03-21,"{'c': 570.012095636, 'h': 606.828515944, 'l': 562.155328006, 'o': 586.4505807319999}"
2014-03-22,"{'c': 564.545464148, 'h': 571.792295856, 'l': 548.409542238, 'o': 569.600447218}"
2014-03-23,"{'c': 559.690294744, 'h': 568.73529797, 'l': 557.07852261, 'o': 564.191851338}"
2014-03-24,"{'c': 584.911571278, 'h': 589.765330318, 'l': 547, 'o': 561.7339428140001}"
2014-03-25,"{'c': 583.845073968, 'h': 586.066360872, 'l': 569.905603064, 'o': 585.45262454}"
2014-03-26,"{'c': 579.087233466, 'h': 590.45180902, 'l': 567.395876744, 'o': 583.222818436}"
2014-03-27,"{'c': 472.14433733800007, 'h': 581.4146991480001, 'l': 472.14433733800007, 'o': 581.4146991480001}"
2014-03-28,"{'c': 501.09610014200007, 'h': 523.553442424, 'l': 470.99997069, 'o': 479.15828344600004}"
2014-03-29,"{'c': 491.9478371900001, 'h': 507.17240867199996, 'l': 488.153188304, 'o': 502.74045943399994}"
2014-03-30,"{'c': 458.77462072399993, 'h': 491.2106189700001, 'l': 438.09524901000003, 'o': 491.2106189700001}"
2014-03-31,"{'c': 457.02355456799995, 'h': 483.214619744, 'l': 440.25027208399996, 'o': 460.18888505000007}"
2014-04-01,"{'c': 479.31229068600004, 'h': 502.414111444, 'l': 454.549437512, 'o': 455.592982028}"
2014-04-02,"{'c': 439.626726544, 'h': 493.290898724, 'l': 432.60967573, 'o': 479.14513386600004}"
2014-04-03,"{'c': 449.53955801, 'h': 456.66556583199997, 'l': 416.862510842, 'o': 438.050092702}"
2014-04-04,"{'c': 451.900550232, 'h': 457.836299832, 'l': 431.188346102, 'o': 450.45490486399996}"
2014-04-05,"{'c': 463.62556298400006, 'h': 463.62556298400006, 'l': 444.49122465600004, 'o': 450.490645986}"
2014-04-06,"{'c': 457.883594364, 'h': 464.93999999999994, 'l': 451.26469816200006, 'o': 464.18249251200007}"
2014-04-07,"{'c': 448.95518037, 'h': 461.937706344, 'l': 446.05231097000006, 'o': 460.31076169999994}"
2014-04-08,"{'c': 453.33637541999997, 'h': 458.772469744, 'l': 446.78104553800006, 'o': 446.977629848}"
2014-04-09,"{'c': 443.06191353799994, 'h': 456.976986544, 'l': 439.627685928, 'o': 453.57}"
2014-04-10,"{'c': 363.851086082, 'h': 442.26971459799995, 'l': 359.619699914, 'o': 441.7507559739999}"
2014-04-11,"{'c': 423.4131448, 'h': 430.4977404339999, 'l': 347.778087658, 'o': 363.628596968}"
2014-04-12,"{'c': 423.368963092, 'h': 439.278961844, 'l': 414.69756752, 'o': 422.99799999999993}"
2014-04-13,"{'c': 416.86460415399995, 'h': 427.75, 'l': 398.40118143, 'o': 425.05999235999997}"
2014-04-14,"{'c': 459.09800582400004, 'h': 473.61896831399997, 'l': 408.228348928, 'o': 417.20204804599996}"
2014-04-15,"{'c': 522.29491627, 'h': 526.217172028, 'l': 454.122617444, 'o': 460.82325141599995}"
2014-04-16,"{'c': 527.687720992, 'h': 546.786017148, 'l': 498.500187362, 'o': 523.3648112400001}"
2014-04-17,"{'c': 498.366678046, 'h': 533.3854130220001, 'l': 484.96943615199996, 'o': 528.8837635120001}"
2014-04-18,"{'c': 482.26565610000006, 'h': 503.292178928, 'l': 472.803131658, 'o': 499.02612939400007}"
2014-04-19,"{'c': 504.842390182, 'h': 507.197655424, 'l': 472.97800000000007, 'o': 481.75144557999994}"
2014-04-20,"{'c': 500.39539342999996, 'h': 514.791951104, 'l': 493.797831048, 'o': 505.465853576}"
2014-04-21,"{'c': 497.251879218, 'h': 513.652567866, 'l': 494.29477999400007, 'o': 500.246385964}"
2014-04-22,"{'c': 489.99280993799994, 'h': 504.61093861, 'l': 486.81062181, 'o': 498.77154585200003}"
2014-04-23,"{'c': 492.0000000000001, 'h': 495.2, 'l': 484.858046214, 'o': 489.97866494}"
2014-04-24,"{'c': 502.220952572, 'h': 503.90979503799997, 'l': 480.1221084299999, 'o': 491.9930508360001}"
2014-04-25,"{'c': 466.88685158400006, 'h': 502.64646242, 'l': 441.928585982, 'o': 502.64646242}"
2014-04-26,"{'c': 461.04532600000005, 'h': 468.89388156800004, 'l': 451.49608787999995, 'o': 466.5221456779999}"
2014-04-27,"{'c': 434.374768044, 'h': 461.439746388, 'l': 434.374768044, 'o': 460.521222116}"
2014-04-28,"{'c': 442.82037402, 'h': 450.85159095999995, 'l': 425.34420797599995, 'o': 430.16592174399995}"
