t,o
2015-08-22,"{'c': 231.08649547071286, 'h': 234.96273976365063, 'l': 223.44712743284563, 'o': 233.4177150143493}"
2015-08-23,"{'c': 228.8419084678968, 'h': 233.07022348186138, 'l': 226.62379082088688, 'o': 231.03486199430887}"
2015-08-24,"{'c': 211.04029812016228, 'h': 228.9489467718789, 'l': 210.22870292751523, 'o': 228.8422696525924}"
2015-08-25,"{'c': 223.11452108192162, 'h': 227.9717859236937, 'l': 200.39885095351752, 'o': 210.6772471135419}"
2015-08-26,"{'c': 226.1075134092342, 'h': 231.26124022385937, 'l': 220.00035844258545, 'o': 223.3120569491337}"
2015-08-27,"{'c': 225.56237052087312, 'h': 228.94298130106213, 'l': 223.63675644931473, 'o': 226.63313483390084}"
2015-08-28,"{'c': 231.52008387831285, 'h': 235.16008679793202, 'l': 221.05592746736346, 'o': 224.66777135273415}"
2015-08-29,"{'c': 230.1742717846294, 'h': 233.2022033295438, 'l': 227.86023290094857, 'o': 231.66861346512957}"
2015-08-30,"{'c': 228.8670732204802, 'h': 232.7749106998554, 'l': 226.3316300372188, 'o': 230.6199291928874}"
2015-08-31,"{'c': 230.59809103226553, 'h': 232.55117595178976, 'l': 225.41343328307707, 'o': 229.2635210608682}"
2015-09-01,"{'c': 228.0608584854554, 'h': 232.56086566351672, 'l': 226.52320419482265, 'o': 230.6398988861926}"
2015-09-02,"{'c': 229.3621245778932, 'h': 230.91054085528907, 'l': 226.43529373050063, 'o': 228.004481985097}"
2015-09-03,"{'c': 227.23996193137782, 'h': 230.3943476551833, 'l': 226.66717877284594, 'o': 229.60626622214514}"
2015-09-04,"{'c': 231.25430337632557, 'h': 231.76293764678076, 'l': 227.0443158206896, 'o': 227.3946655976485}"
2015-09-05,"{'c': 236.0671291026174, 'h': 236.68303922123522, 'l': 229.78912044255384, 'o': 230.74741692850245}"
2015-09-06,"{'c': 240.68976830398393, 'h': 243.9295426445653, 'l': 235.44846201930721, 'o': 236.06991217720832}"
2015-09-07,"{'c': 241.02145890795947, 'h': 242.62715603336045, 'l': 239.00575969127686, 'o': 241.0044191389631}"
2015-09-08,"{'c': 244.23028202966935, 'h': 246.14777098198473, 'l': 240.18740481034607, 'o': 240.69000583635133}"
2015-09-09,"{'c': 238.64699669387738, 'h': 244.47705299257228, 'l': 238.1463727026674, 'o': 243.9841293732515}"
2015-09-10,"{'c': 238.65631371778696, 'h': 241.3347035634828, 'l': 236.02971852657848, 'o': 238.5831241014861}"
2015-09-11,"{'c': 240.72803507045546, 'h': 241.24841242261064, 'l': 238.31458637727414, 'o': 238.55187304212933}"
2015-09-12,"{'c': 235.38640084032153, 'h': 240.86969381173586, 'l': 233.94662216096458, 'o': 240.10198046322654}"
2015-09-13,"{'c': 230.2314716349509, 'h': 236.3983577285545, 'l': 228.76958508477355, 'o': 235.79400240090595}"
2015-09-14,"{'c': 230.66681987336318, 'h': 232.88679944037645, 'l': 226.29000417798892, 'o': 230.13662971712816}"
2015-09-15,"{'c': 230.18311924399845, 'h': 232.168972438073, 'l': 228.65310757346305, 'o': 230.42767204045995}"
2015-09-16,"{'c': 229.2495574632945, 'h': 231.5969539474157, 'l': 226.4144355207804, 'o': 230.34447642242398}"
2015-09-17,"{'c': 232.7716151933546, 'h': 234.77993029499672, 'l': 227.48438840201788, 'o': 228.35974552733433}"
2015-09-18,"{'c': 233.45600185429976, 'h': 234.80462571710314, 'l': 231.72077893648333, 'o': 232.37041081911175}"
2015-09-19,"{'c': 231.72953491596854, 'h': 233.98321702990833, 'l': 230.38324759530536, 'o': 233.63081700980192}"
2015-09-20,"{'c': 230.68535720681675, 'h': 233.00747326234492, 'l': 229.77158844596715, 'o': 231.69475588236338}"
2015-09-21,"{'c': 226.6662632336626, 'h': 232.42931601134242, 'l': 225.65950174284194, 'o': 230.5476648552385}"
2015-09-22,"{'c': 230.61068690263542, 'h': 231.89903147793902, 'l': 224.21052610528642, 'o': 226.70762297484498}"
2015-09-23,"{'c': 229.82978513470525, 'h': 232.12210660762693, 'l': 228.962962474821, 'o': 230.67170028965967}"
2015-09-24,"{'c': 234.4753888262895, 'h': 235.80097816805406, 'l': 229.1566379353801, 'o': 229.9312220486539}"
2015-09-25,"{'c': 235.2908548005521, 'h': 237.28782964253668, 'l': 232.9917176451144, 'o': 234.62738123617322}"
2015-09-26,"{'c': 234.5934120623101, 'h': 236.0746273240624, 'l': 233.17546096944866, 'o': 235.6758338848782}"
2015-09-27,"{'c': 233.18068434946878, 'h': 234.82091634718307, 'l': 231.8086850812891, 'o': 234.0421032675979}"
2015-09-28,"{'c': 239.47488643573993, 'h': 240.06671146166937, 'l': 232.53619875023983, 'o': 233.06068029727925}"
2015-09-29,"{'c': 237.09198320316509, 'h': 240.72372138618374, 'l': 235.98630281037612, 'o': 239.59780031370184}"
2015-09-30,"{'c': 236.85368796707021, 'h': 238.45889313681133, 'l': 235.19726699329448, 'o': 236.89954095868816}"
2015-10-01,"{'c': 237.82075625088078, 'h': 239.59074898886314, 'l': 235.3182349040876, 'o': 236.20585586708967}"
2015-10-02,"{'c': 238.17530073042212, 'h': 239.2305226582141, 'l': 236.9501119062686, 'o': 237.39765103879677}"
2015-10-03,"{'c': 239.56040132076637, 'h': 240.42951394553498, 'l': 237.28811883632903, 'o': 238.14262624490166}"
2015-10-04,"{'c': 239.33481153938868, 'h': 240.1404597745149, 'l': 238.0859442079114, 'o': 239.44689711415708}"
2015-10-05,"{'c': 240.78453591961664, 'h': 240.8529164006312, 'l': 236.92107942910206, 'o': 238.7012208639897}"
2015-10-06,"{'c': 246.77201716769088, 'h': 247.83036240370296, 'l': 240.42083177138434, 'o': 240.8820320184158}"
2015-10-07,"{'c': 243.30663642926592, 'h': 247.72219927631357, 'l': 242.81245700884278, 'o': 246.87008040755978}"
2015-10-08,"{'c': 242.9524075126918, 'h': 245.30796869223735, 'l': 242.25892929599553, 'o': 243.70508824529196}"
2015-10-09,"{'c': 244.4255139081272, 'h': 244.75024163821323, 'l': 242.45977455807443, 'o': 242.95313912720795}"
2015-10-10,"{'c': 245.9098072068554, 'h': 246.0378602238232, 'l': 243.21060738815663, 'o': 244.42490903380184}"
2015-10-11,"{'c': 248.94019306744676, 'h': 249.01458227202107, 'l': 244.79632845049196, 'o': 245.86588937227276}"
2015-10-12,"{'c': 246.20617221314052, 'h': 248.83164097416594, 'l': 245.7399350527487, 'o': 248.58836925566834}"
2015-10-13,"{'c': 250.0391563717686, 'h': 250.90394439821898, 'l': 243.57867842352113, 'o': 245.991641130195}"
2015-10-14,"{'c': 253.12203079360424, 'h': 255.3038656514554, 'l': 248.58286745092886, 'o': 250.05642622253262}"
2015-10-15,"{'c': 254.63318166842015, 'h': 256.4630865733046, 'l': 252.271803999964, 'o': 253.19694014606543}"
2015-10-16,"{'c': 262.78453429548875, 'h': 267.2105718033932, 'l': 254.35059780352844, 'o': 254.8927937057877}"
2015-10-17,"{'c': 272.5708393360872, 'h': 273.74457553670203, 'l': 262.54901579178573, 'o': 263.26825645045994}"
2015-10-18,"{'c': 264.1076345503976, 'h': 272.9660562213882, 'l': 260.8263309359463, 'o': 272.3023025349007}"
2015-10-19,"{'c': 264.3202634396505, 'h': 266.6378046877174, 'l': 260.7465712533238, 'o': 263.3432061416746}"
2015-10-20,"{'c': 270.7099906978552, 'h': 272.5445817102906, 'l': 263.0484228911897, 'o': 264.9446589894281}"
2015-10-21,"{'c': 268.24522907122025, 'h': 272.3105447070547, 'l': 264.71522675431214, 'o': 270.3922972063363}"
2015-10-22,"{'c': 275.55908332825675, 'h': 279.69760362978957, 'l': 268.0340873747088, 'o': 268.12224124961597}"
2015-10-23,"{'c': 278.69805077486205, 'h': 280.7191183184279, 'l': 275.2982972063882, 'o': 275.5190195745149}"
2015-10-24,"{'c': 283.6091613210242, 'h': 284.1225021012675, 'l': 278.7068309714683, 'o': 278.7068309714683}"
2015-10-25,"{'c': 284.26263600676805, 'h': 295.5915087762317, 'l': 283.51544613412443, 'o': 283.8228780500622}"
2015-10-26,"{'c': 286.86547456086225, 'h': 287.01862294358074, 'l': 280.56296710791077, 'o': 284.614887365259}"
2015-10-27,"{'c': 295.20093312413206, 'h': 298.7424425759771, 'l': 286.87197679884775, 'o': 286.8821685369996}"
2015-10-28,"{'c': 304.80745035505936, 'h': 308.2940588965151, 'l': 295.4278500202643, 'o': 295.4631739991299}"
2015-10-29,"{'c': 315.21087607896385, 'h': 319.4148965303954, 'l': 302.2588162034714, 'o': 304.55760394948527}"
2015-10-30,"{'c': 328.9191848346569, 'h': 334.1301044823543, 'l': 315.35884133043476, 'o': 315.35884133043476}"
2015-10-31,"{'c': 312.10899213735587, 'h': 334.1475347321011, 'l': 306.42772064568686, 'o': 328.7239288847211}"
2015-11-01,"{'c': 328.4881524558023, 'h': 331.0296251156655, 'l': 305.6322505579874, 'o': 312.4242392963072}"
2015-11-02,"{'c': 362.95298972072004, 'h': 368.41665457730386, 'l': 323.89166523717455, 'o': 327.86133584759716}"
2015-11-03,"{'c': 403.60760015527967, 'h': 419.56200769278576, 'l': 361.6332484110377, 'o': 364.61697800696777}"
2015-11-04,"{'c': 408.40316317328046, 'h': 498.5853342365543, 'l': 372.4184805887896, 'o': 404.6072950791245}"
2015-11-05,"{'c': 385.71264935145183, 'h': 447.014451925361, 'l': 370.13033543125255, 'o': 406.9681312094977}"
2015-11-06,"{'c': 374.44139240597144, 'h': 395.4424742477564, 'l': 353.8934003060699, 'o': 387.2185501855342}"
2015-11-07,"{'c': 385.76265790586126, 'h': 391.2040156986091, 'l': 372.1808921020098, 'o': 373.71608194759426}"
2015-11-08,"{'c': 372.86695374186934, 'h': 389.69643226159246, 'l': 367.96431472016883, 'o': 383.62012973095136}"
2015-11-09,"{'c': 378.95059536527606, 'h': 385.69549748263023, 'l': 361.188367043323, 'o': 373.76124282867306}"
2015-11-10,"{'c': 335.79636717053035, 'h': 381.5978775674789, 'l': 325.63833848119054, 'o': 379.40159172247144}"
2015-11-11,"{'c': 310.2309524422893, 'h': 339.7797379238218, 'l': 299.5002631383809, 'o': 338.43596958750993}"
2015-11-12,"{'c': 338.6393034805578, 'h': 343.37970409130884, 'l': 312.1845625448709, 'o': 312.35180568699843}"
2015-11-13,"{'c': 337.0562129246183, 'h': 341.31599099559713, 'l': 325.81459525490635, 'o': 337.67568187594054}"
2015-11-14,"{'c': 333.439122539814, 'h': 340.016478678123, 'l': 329.154950747012, 'o': 337.3128082037877}"
2015-11-15,"{'c': 320.3207315551851, 'h': 335.9543704776163, 'l': 317.29634751053385, 'o': 333.2015444576912}"
2015-11-16,"{'c': 331.7085679802535, 'h': 332.92548064819766, 'l': 316.48551746152884, 'o': 321.29441305382295}"
2015-11-17,"{'c': 336.27064502172516, 'h': 340.2017359937342, 'l': 330.43287221662865, 'o': 330.7384642588412}"
2015-11-18,"{'c': 334.72243230786967, 'h': 337.42694372189186, 'l': 331.09977085962265, 'o': 335.7321788779721}"
2015-11-19,"{'c': 326.57191468523297, 'h': 336.0743054214852, 'l': 325.2762973058419, 'o': 335.09724397873623}"
2015-11-20,"{'c': 321.82747201497375, 'h': 326.76283831346774, 'l': 312.096702411179, 'o': 326.50565796865783}"
2015-11-21,"{'c': 326.3387576784565, 'h': 328.05719707680134, 'l': 318.00915552224757, 'o': 322.30028444256055}"
2015-11-22,"{'c': 323.80777196175893, 'h': 326.74914347426215, 'l': 320.812157665208, 'o': 326.6775438649973}"
2015-11-23,"{'c': 323.11211587743236, 'h': 325.57629204625135, 'l': 321.0803433815048, 'o': 323.9469800645867}"
2015-11-24,"{'c': 320.2786544058803, 'h': 323.1780675702556, 'l': 318.0386047959129, 'o': 322.91403865446443}"
2015-11-25,"{'c': 328.95709929189985, 'h': 330.08207315487823, 'l': 316.58810378755084, 'o': 320.61359314337494}"
2015-11-26,"{'c': 352.9815835414223, 'h': 367.86441349715335, 'l': 328.86435193856613, 'o': 328.9526686976535}"
2015-11-27,"{'c': 357.7679405226297, 'h': 363.7404363126934, 'l': 348.25750684439726, 'o': 352.8516066529106}"
2015-11-28,"{'c': 356.5316287061623, 'h': 359.28823257447937, 'l': 351.4838478762057, 'o': 357.19784784518987}"
2015-11-29,"{'c': 371.56062339708836, 'h': 372.9286953717975, 'l': 354.8027781143941, 'o': 357.0538425955715}"
2015-11-30,"{'c': 376.9796965739912, 'h': 382.2183000337183, 'l': 368.9490971045913, 'o': 371.45680325735157}"
2015-12-01,"{'c': 362.9135153696589, 'h': 378.70069042877924, 'l': 355.64483934358566, 'o': 376.89477578593215}"
2015-12-02,"{'c': 359.36565308034005, 'h': 362.5831382748638, 'l': 349.2096508481049, 'o': 362.4017172488056}"
2015-12-03,"{'c': 361.4880907867144, 'h': 369.44497797224403, 'l': 357.23217435605, 'o': 359.2290620036079}"
2015-12-04,"{'c': 363.6694300330024, 'h': 363.89637914921155, 'l': 356.1422754974708, 'o': 361.64109265740154}"
2015-12-05,"{'c': 387.8975263902973, 'h': 388.70151863790295, 'l': 364.0215476385074, 'o': 364.0215476385074}"
2015-12-06,"{'c': 387.6737772689671, 'h': 399.1441653367121, 'l': 384.67931193352246, 'o': 388.1180363994554}"
2015-12-07,"{'c': 394.81581788008197, 'h': 397.8834596153359, 'l': 383.65612060016304, 'o': 387.5768120406709}"
2015-12-08,"{'c': 416.94368780430784, 'h': 416.94368780430784, 'l': 389.29992815993705, 'o': 395.7132867803676}"
2015-12-09,"{'c': 417.5696303375327, 'h': 422.8379321523904, 'l': 404.51791224042483, 'o': 415.4842401906782}"
2015-12-10,"{'c': 415.39939616850705, 'h': 419.30658430381163, 'l': 409.9023073727406, 'o': 417.2954670124959}"
2015-12-11,"{'c': 453.1305854150825, 'h': 453.1305854150825, 'l': 415.5833356012182, 'o': 415.5833356012182}"
2015-12-12,"{'c': 436.75298646387876, 'h': 467.6537375995561, 'l': 410.8027932314857, 'o': 451.0712309176145}"
2015-12-13,"{'c': 433.3545154611923, 'h': 442.86480265784667, 'l': 425.75159716031055, 'o': 433.8602515041589}"
2015-12-14,"{'c': 443.8590702689776, 'h': 447.33327698904895, 'l': 429.58975734993356, 'o': 432.3998598212147}"
2015-12-15,"{'c': 463.9822589592027, 'h': 464.24950378729574, 'l': 443.297606183479, 'o': 443.75191738970506}"
2015-12-16,"{'c': 454.06528884560765, 'h': 464.311377017348, 'l': 443.2164894090279, 'o': 464.311377017348}"
2015-12-17,"{'c': 455.8338169637597, 'h': 458.18627150710626, 'l': 448.7160945677982, 'o': 454.4618983581337}"
2015-12-18,"{'c': 463.12910763070374, 'h': 465.3867009401855, 'l': 453.8392058001009, 'o': 455.80441147880555}"
2015-12-19,"{'c': 461.44159724790654, 'h': 465.46602101447127, 'l': 455.0633735867128, 'o': 463.1537614074556}"
2015-12-20,"{'c': 442.29881918198953, 'h': 461.7141049401377, 'l': 433.8566580882017, 'o': 461.4326838888056}"
2015-12-21,"{'c': 437.2047325783519, 'h': 445.66411959190043, 'l': 427.20246295858277, 'o': 442.4168734205981}"
2015-12-22,"{'c': 434.6732117942569, 'h': 442.6741751068089, 'l': 433.41127620381604, 'o': 436.6007896500081}"
2015-12-23,"{'c': 442.41482089884613, 'h': 444.9686657829672, 'l': 430.2006946522155, 'o': 434.2675456177615}"
2015-12-24,"{'c': 455.74013016062173, 'h': 459.0554628834594, 'l': 443.1133194503038, 'o': 443.1133194503038}"
2015-12-25,"{'c': 455.85591512491953, 'h': 458.6643891572802, 'l': 451.04908044033175, 'o': 455.44663195615175}"
2015-12-26,"{'c': 418.47369385302943, 'h': 457.71506173602165, 'l': 409.4728448876171, 'o': 455.57337137002867}"
2015-12-27,"{'c': 422.2507205514291, 'h': 426.50161707979714, 'l': 411.9964734549535, 'o': 418.45216136873825}"
2015-12-28,"{'c': 421.6523204183636, 'h': 429.69180735531745, 'l': 417.80674857696505, 'o': 422.733266520566}"
2015-12-29,"{'c': 432.94242916990527, 'h': 432.94242916990527, 'l': 419.3656530955941, 'o': 421.82278881145555}"
2015-12-30,"{'c': 426.97325638352305, 'h': 434.8418958123499, 'l': 422.55891670553973, 'o': 433.08437619659145}"
2015-12-31,"{'c': 430.21143265315385, 'h': 433.4479488058554, 'l': 420.2550717451815, 'o': 426.45308239787926}"
2016-01-01,"{'c': 434.8839824640039, 'h': 436.4340480067829, 'l': 428.27022447203524, 'o': 430.35871655559987}"
2016-01-02,"{'c': 434.92242033909116, 'h': 436.29446441997226, 'l': 431.55463371603093, 'o': 435.7194344773594}"
2016-01-03,"{'c': 430.9997978270536, 'h': 435.21807946760543, 'l': 424.77709601803764, 'o': 434.6358760430514}"
2016-01-04,"{'c': 433.90199131687206, 'h': 435.45165411579563, 'l': 429.7742340474507, 'o': 431.3623489693956}"
2016-01-05,"{'c': 433.16659869576245, 'h': 435.4955001216079, 'l': 429.9722654694391, 'o': 433.527565219683}"
2016-01-06,"{'c': 429.9253492492494, 'h': 433.293846682048, 'l': 427.638538386503, 'o': 432.39397570394414}"
2016-01-07,"{'c': 458.7099236879629, 'h': 459.69712906698794, 'l': 430.38671355968575, 'o': 430.7891858899023}"
2016-01-08,"{'c': 454.05328330860004, 'h': 463.85786193066224, 'l': 447.02619528592595, 'o': 457.7481678956261}"
2016-01-09,"{'c': 449.69718279879146, 'h': 455.27592955839316, 'l': 447.2734132546905, 'o': 453.92347176897454}"
2016-01-10,"{'c': 448.95363526897563, 'h': 450.6612225850537, 'l': 441.554347756469, 'o': 450.0525827327141}"
2016-01-11,"{'c': 448.69524978182716, 'h': 452.10179490117844, 'l': 440.6886815730203, 'o': 449.5993797082685}"
2016-01-12,"{'c': 435.48555090765376, 'h': 448.64947884813836, 'l': 435.48555090765376, 'o': 448.5798437131517}"
2016-01-13,"{'c': 432.6577823362845, 'h': 436.52059083924706, 'l': 424.9806154628798, 'o': 434.42503780492586}"
2016-01-14,"{'c': 430.0250259843386, 'h': 434.7249487146549, 'l': 427.7889470138801, 'o': 432.7248030117097}"
2016-01-15,"{'c': 362.4305504507852, 'h': 429.9345498828217, 'l': 362.4305504507852, 'o': 429.9345498828217}"
2016-01-16,"{'c': 388.1881730585918, 'h': 390.8104174425682, 'l': 353.55245190549005, 'o': 362.6224348864022}"
2016-01-17,"{'c': 379.148748639874, 'h': 390.5212074244624, 'l': 377.2342855258601, 'o': 386.8426375781687}"
2016-01-18,"{'c': 384.928918248786, 'h': 387.44046353002193, 'l': 373.5351049251068, 'o': 378.39185822615246}"
2016-01-19,"{'c': 376.7663108392438, 'h': 385.90817599974616, 'l': 374.0849099951944, 'o': 384.69197541469015}"
2016-01-20,"{'c': 419.22525017175093, 'h': 423.12217243535844, 'l': 372.2866240908041, 'o': 376.0172897766199}"
2016-01-21,"{'c': 409.26809902414743, 'h': 422.90111195719874, 'l': 404.6674860641499, 'o': 418.408665446888}"
2016-01-22,"{'c': 383.29492881453876, 'h': 411.20372063505073, 'l': 375.3452536938142, 'o': 409.1257635968251}"
2016-01-23,"{'c': 386.9158595464536, 'h': 394.9817295795369, 'l': 382.2347209873462, 'o': 382.98671209899317}"
2016-01-24,"{'c': 402.8010750231029, 'h': 405.76210497600584, 'l': 386.57913909427856, 'o': 386.9924405341345}"
2016-01-25,"{'c': 391.1212623042642, 'h': 402.2985080997672, 'l': 386.83668249979075, 'o': 402.2985080997672}"
2016-01-26,"{'c': 391.6668140869515, 'h': 396.9338973397567, 'l': 388.91795319244545, 'o': 391.55810261914814}"
2016-01-27,"{'c': 394.4466804448489, 'h': 396.6729304828722, 'l': 390.897339497621, 'o': 391.99949562305187}"
2016-01-28,"{'c': 379.75057770315664, 'h': 394.9635355075363, 'l': 379.1515814776148, 'o': 394.4891280886557}"
2016-01-29,"{'c': 378.6405195412309, 'h': 383.90832478999306, 'l': 364.8181255545636, 'o': 379.56951268186236}"
2016-01-30,"{'c': 377.3488875787101, 'h': 381.06544954244305, 'l': 375.8997924140922, 'o': 378.2464676359873}"
2016-01-31,"{'c': 367.9508595508954, 'h': 381.7772791848118, 'l': 365.92052201868745, 'o': 378.3709272533992}"
2016-02-01,"{'c': 371.37052319412066, 'h': 378.1983355938331, 'l': 366.90588584866475, 'o': 368.69310616285946}"
2016-02-02,"{'c': 372.96226926144027, 'h': 374.5546852260905, 'l': 371.3657419435424, 'o': 371.5211873321738}"
2016-02-03,"{'c': 368.53490319794935, 'h': 373.6635199265637, 'l': 366.0932636283886, 'o': 373.02352708312935}"
2016-02-04,"{'c': 388.09502866803325, 'h': 390.74875916546534, 'l': 368.49265136811164, 'o': 368.49265136811164}"
2016-02-05,"{'c': 383.9341258581022, 'h': 389.1494899148232, 'l': 383.5259933273911, 'o': 387.5783969899314}"
2016-02-06,"{'c': 375.22738704758757, 'h': 384.29510452377343, 'l': 371.19652212477286, 'o': 384.24445645170135}"
2016-02-07,"{'c': 376.42862922366214, 'h': 379.73779902182406, 'l': 373.40515983173293, 'o': 375.3993611015952}"
2016-02-08,"{'c': 371.21694243336185, 'h': 379.0508593584616, 'l': 370.57802501821305, 'o': 376.4416379746159}"
2016-02-09,"{'c': 372.7623707800957, 'h': 375.78505053119954, 'l': 370.4847559609786, 'o': 371.00253367932}"
2016-02-10,"{'c': 378.95173421310903, 'h': 383.0624754576742, 'l': 372.27312151536586, 'o': 372.8909209145501}"
2016-02-11,"{'c': 378.14838162107424, 'h': 379.6994374797151, 'l': 371.6762338315897, 'o': 379.25209726461486}"
2016-02-12,"{'c': 382.39209701651856, 'h': 382.76047465093416, 'l': 377.7213863300036, 'o': 378.0491167095266}"
2016-02-13,"{'c': 390.65036662988143, 'h': 390.65036662988143, 'l': 382.38526414171366, 'o': 382.38526414171366}"
2016-02-14,"{'c': 406.5740594276338, 'h': 406.5740594276338, 'l': 391.7365970576433, 'o': 391.7365970576433}"
2016-02-15,"{'c': 398.8081586422428, 'h': 409.21643804010426, 'l': 394.1119026298382, 'o': 406.0768925832732}"
2016-02-16,"{'c': 407.238241647739, 'h': 407.29179752719045, 'l': 397.63057560087077, 'o': 399.1250617775937}"
2016-02-17,"{'c': 414.8979246844353, 'h': 420.37343828994034, 'l': 405.6882097659597, 'o': 407.3673939966231}"
2016-02-18,"{'c': 421.16569563372616, 'h': 424.2688989437894, 'l': 415.65935390729356, 'o': 415.65935390729356}"
2016-02-19,"{'c': 420.44353590336175, 'h': 421.97115456487234, 'l': 416.0612186276734, 'o': 421.1418436840948}"
2016-02-20,"{'c': 434.6179274199626, 'h': 443.1483086627808, 'l': 420.75063490094834, 'o': 420.75063490094834}"
2016-02-21,"{'c': 438.47243072984276, 'h': 448.04374239815644, 'l': 426.9860164272151, 'o': 435.9689939294623}"
2016-02-22,"{'c': 437.4889589178774, 'h': 439.30995460652923, 'l': 431.9801682074206, 'o': 438.4174054977225}"
2016-02-23,"{'c': 419.61022318481594, 'h': 440.51096053324954, 'l': 415.270242970443, 'o': 437.52016180943804}"
2016-02-24,"{'c': 423.851263269437, 'h': 424.92714352211533, 'l': 411.6882643220032, 'o': 420.0380972383423}"
2016-02-25,"{'c': 423.5093989250703, 'h': 426.2255859039856, 'l': 417.51578995247576, 'o': 423.90103317360825}"
2016-02-26,"{'c': 430.6719637219394, 'h': 430.6719637219394, 'l': 418.940816141802, 'o': 423.48724477004697}"
2016-02-27,"{'c': 432.1432341275273, 'h': 434.7095165097973, 'l': 429.15824735427384, 'o': 431.69728974703537}"
2016-02-28,"{'c': 431.5065287388273, 'h': 434.9012198093882, 'l': 423.0523994371662, 'o': 432.6201907993312}"
2016-02-29,"{'c': 436.42224928942983, 'h': 441.5016596395518, 'l': 430.1792642796894, 'o': 431.41801902286295}"
2016-03-01,"{'c': 433.2277035606563, 'h': 437.355920884194, 'l': 429.1147021286596, 'o': 436.48917810039893}"
2016-03-02,"{'c': 420.12615262177826, 'h': 434.78376371136767, 'l': 420.12615262177826, 'o': 432.70607970763956}"
2016-03-03,"{'c': 419.31158198959054, 'h': 423.58328910169575, 'l': 410.71410784982083, 'o': 420.85649868256553}"
2016-03-04,"{'c': 407.2361243772178, 'h': 423.140821591473, 'l': 407.2361243772178, 'o': 419.10035226381854}"
2016-03-05,"{'c': 398.50243239160943, 'h': 408.56480438513233, 'l': 385.15248353135814, 'o': 407.45471894183993}"
2016-03-06,"{'c': 404.6277893211019, 'h': 410.08491398876174, 'l': 388.39039824301864, 'o': 397.32545714876386}"
2016-03-07,"{'c': 412.8005827105356, 'h': 415.67132434904596, 'l': 399.1692365844823, 'o': 404.7244403486499}"
2016-03-08,"{'c': 411.4093473295935, 'h': 415.4092146859065, 'l': 408.6428814742708, 'o': 412.6505986775436}"
2016-03-09,"{'c': 412.59964953173085, 'h': 413.5809443722882, 'l': 409.0606737020703, 'o': 411.2127848452534}"
2016-03-10,"{'c': 415.96573582904114, 'h': 416.4328727175247, 'l': 410.8742940354341, 'o': 412.69393885403315}"
2016-03-11,"{'c': 419.64531649745595, 'h': 421.5243006719744, 'l': 415.3106447768697, 'o': 416.1186020050336}"
2016-03-12,"{'c': 410.139940852359, 'h': 420.9707957038436, 'l': 407.1528268590389, 'o': 419.50227496514907}"
2016-03-13,"{'c': 412.61530446772593, 'h': 416.451936868193, 'l': 410.37824188949753, 'o': 410.37824188949753}"
2016-03-14,"{'c': 415.05435298344673, 'h': 415.46135809129674, 'l': 412.1750971459968, 'o': 412.5276508436271}"
2016-03-15,"{'c': 415.4742785335744, 'h': 416.6670920749294, 'l': 412.90885655041313, 'o': 415.0587839874355}"
2016-03-16,"{'c': 416.2381856412929, 'h': 416.24630548906737, 'l': 413.67468905132057, 'o': 415.45445460711744}"
2016-03-17,"{'c': 418.5086720041087, 'h': 419.45260695526787, 'l': 415.9264180056546, 'o': 416.06847453866266}"
2016-03-18,"{'c': 409.2494736684257, 'h': 418.4331765994987, 'l': 403.7184289839898, 'o': 417.9794029277388}"
2016-03-19,"{'c': 409.6114015305549, 'h': 410.56345963811026, 'l': 405.0595031011748, 'o': 408.7070049351888}"
2016-03-20,"{'c': 411.66829833103867, 'h': 414.5378769663888, 'l': 408.25101923897387, 'o': 409.06015657243006}"
2016-03-21,"{'c': 411.7585748667672, 'h': 411.89023840862376, 'l': 407.1857586763446, 'o': 410.753704470609}"
2016-03-22,"{'c': 416.54761875463345, 'h': 417.2912678844276, 'l': 410.9387881827116, 'o': 411.35789631934847}"
2016-03-23,"{'c': 417.53883195340177, 'h': 418.8162764579039, 'l': 414.53844622140633, 'o': 416.5523048075309}"
2016-03-24,"{'c': 412.68391467188684, 'h': 417.6040713990575, 'l': 412.68391467188684, 'o': 417.58521919501584}"
2016-03-25,"{'c': 416.3595573150922, 'h': 416.7510305195253, 'l': 412.20103894755937, 'o': 413.50582524794845}"
2016-03-26,"{'c': 416.92298328256874, 'h': 417.5888481972136, 'l': 414.63655660329596, 'o': 416.2860003927789}"
2016-03-27,"{'c': 425.01140597187987, 'h': 426.5897963994968, 'l': 415.969346603305, 'o': 416.93565090508685}"
2016-03-28,"{'c': 422.6782895074445, 'h': 424.8434736111029, 'l': 420.2629881833089, 'o': 424.8434736111029}"
2016-03-29,"{'c': 416.1195712728422, 'h': 424.39005383162873, 'l': 411.6765373578404, 'o': 422.7801620923345}"
2016-03-30,"{'c': 413.08440509498695, 'h': 415.8763337929339, 'l': 410.08056417626494, 'o': 415.8763337929339}"
2016-03-31,"{'c': 415.55633232669516, 'h': 417.2272182697917, 'l': 413.298729619821, 'o': 413.298729619821}"
2016-04-01,"{'c': 417.1655761916554, 'h': 417.4442681589482, 'l': 414.19244133415543, 'o': 415.6151212286363}"
2016-04-02,"{'c': 419.7207145718917, 'h': 420.30517748041814, 'l': 417.2533650608726, 'o': 417.6652984519301}"
2016-04-03,"{'c': 419.82532399189205, 'h': 420.22285548059017, 'l': 417.58392514981733, 'o': 419.56182950313917}"
