Timestamp,Open,High,Low,Close,Volume,ratio,Position,Action,Holdings,Cash,Money,Returns
2014-01-01,731.903411882,753.981553104,731.903411882,753.405480556,21346662.0,113.00007702208195,0,0,0.0,100000.0,100000.0,0.0
2014-01-02,751.161970052,798.2436427300001,742.8400064780001,784.280603894,28405765.0,113.22746777082752,0,0,0.0,100000.0,100000.0,0.0
2014-01-03,782.968261172,816.864470154,768.6465619940001,807.915916232,31500478.0,113.3701484313799,0,0,0.0,100000.0,100000.0,0.0
2014-01-04,807.8165956619999,828.7459845879999,792.146836872,828.7459845879999,26004448.0,113.56209056379647,0,0,0.0,100000.0,100000.0,0.0
2014-01-05,829.028304986,933.119889866,828.061490758,904.760075074,31874485.0,113.41368669328908,0,0,0.0,100000.0,100000.0,0.0
2014-01-06,906.670111908,993.012671154,887.2568697,917.382725522,37645579.0,113.32562642357443,0,0,0.0,100000.0,100000.0,0.0
2014-01-07,915.793705166,941.877363556,789.593524042,789.593524042,31114343.0,113.42180426551192,0,0,0.0,100000.0,100000.0,0.0
2014-01-08,778.222934732,846.5568567119999,768.3688510260001,822.864923038,30314966.0,113.22601883147516,0,0,0.0,100000.0,100000.0,0.0
2014-01-09,830.2687184719998,844.7333391100001,785.913197922,825.8665006040001,29248412.0,112.94130538135296,0,0,0.0,100000.0,100000.0,0.0
2014-01-10,823.741218994,858.6030641519999,805.451087872,854.445450584,27201658.0,112.86085763788157,0,0,0.0,100000.0,100000.0,0.0
2014-01-11,852.296409132,906.128969876,850.8371714479999,893.6831232820001,29282110.0,112.48545939022198,0,0,0.0,100000.0,100000.0,0.0
2014-01-12,895.333941246,904.04404794,827.508603914,843.286613774,25944444.0,112.15668350717344,0,0,0.0,100000.0,100000.0,0.0
2014-01-13,840.97690943,843.535720248,789.213772588,822.530427934,27996437.0,112.08589939794084,0,0,0.0,100000.0,100000.0,0.0
2014-01-14,824.566519444,836.1150065940001,804.482518704,815.996819406,28151350.0,112.1919437058523,0,0,0.0,100000.0,100000.0,0.0
2014-01-15,815.30019049,848.86299475,812.45745192,840.1151583520001,29682359.0,111.9748501215462,0,0,0.0,100000.0,100000.0,0.0
2014-01-16,841.164428006,847.73468916,814.4962523859999,814.4962523859999,29399740.0,111.8120770354308,0,0,0.0,100000.0,100000.0,0.0
2014-01-17,812.330405534,818.887922492,770.6144133939999,794.5266687980001,28793316.0,111.69838342931756,0,0,0.0,100000.0,100000.0,0.0
2014-01-18,796.84108194,816.204482146,796.84108194,811.37762176,25078955.0,111.53307133603931,0,0,0.0,100000.0,100000.0,0.0
2014-01-19,810.983856048,841.4564324119999,795.5558779239999,841.4564324119999,24042099.0,111.58580334341612,0,0,0.0,100000.0,100000.0,0.0
2014-01-20,842.1750903239999,844.599717634,817.145194882,826.696425026,35802980.0,111.36835105378744,0,0,0.0,100000.0,100000.0,0.0
2014-01-21,825.9990557020001,833.821904742,815.0225156139999,824.875769878,36367413.0,111.30787546249768,0,0,0.0,100000.0,100000.0,0.0
2014-01-22,824.4221674339999,824.4221674339999,805.899371318,818.534270204,32799113.0,111.1876322012296,0,0,0.0,100000.0,100000.0,0.0
2014-01-23,819.138,823.168,803.330035602,810.869203164,32741727.0,111.0378882602115,0,0,0.0,100000.0,100000.0,0.0
2014-01-24,810.14861073,810.1754649999999,768.594530864,779.3849452420001,32166736.0,111.00259226016615,0,0,0.0,100000.0,100000.0,0.0
2014-01-25,779.633616724,816.8241085200001,775.011168556,805.652675222,27300623.0,110.97649940168786,0,0,0.0,100000.0,100000.0,0.0
2014-01-26,805.635530356,831.98114621,796.9776483459999,814.847146534,26973237.0,111.12499065834852,0,0,0.0,100000.0,100000.0,0.0
2014-01-27,814.609057004,822.597016814,729.2448187480001,746.678657078,32509480.0,111.13522029769678,0,0,0.0,100000.0,100000.0,0.0
2014-01-28,749.5395848119999,811.5336222520001,742.2571064240001,785.9504199859999,33077520.0,111.22167487374615,0,0,0.0,100000.0,100000.0,0.0
2014-01-29,785.2093090000001,804.5652399560001,783.3840817280001,794.098192396,29120650.0,111.38196485018692,0,0,0.0,100000.0,100000.0,0.0
2014-01-30,794.1089188020001,810.0969831919999,772.8600955020001,799.5229998400001,30577764.0,111.3937669473118,0,0,0.0,100000.0,100000.0,0.0
2014-01-31,799.801687688,808.890884554,792.377236548,802.998525562,30709345.0,111.59810822658292,-1,-1,-99571.817169688,199472.2453525183,99900.4281828303,-0.0009957181716969354
2014-02-01,803.08897018,825.783272108,803.08897018,813.159890274,28516723.0,111.51015872555227,-1,0,-100831.82639397599,199472.2453525183,98640.41895854232,-0.01261265088856292
2014-02-02,813.4994616839999,824.9589929800001,810.5421420179999,814.932732602,29308575.0,111.47211483834668,-1,0,-101051.658842648,199472.2453525183,98420.5865098703,-0.0022286244421204464
2014-02-03,813.4936793459999,814.99,801.323850846,808.5,32590491.0,111.65062254396692,-1,0,-100254.0,199472.2453525183,99218.24535251831,0.008104593469050363
2014-02-04,807.01483199,811.6554764059999,797.4866546340002,801.39173376,37912409.0,111.74625036632796,-1,0,-99372.57498624,199472.2453525183,100099.67036627831,0.008883698866356047
2014-02-05,801.999143152,807.651740264,779.9879977940001,780.917515036,36921241.0,111.87936579537298,1,1,102300.194469716,139.14505200413987,102439.33952172015,0.023373395205805055
2014-02-06,783.182313112,794.9143906840001,756.181896196,762.981093598,38079205.0,111.8203032404252,-1,-1,-99187.54216774,199078.07241565306,99890.53024791306,-0.02488115684567316
2014-02-07,761.805554048,762.9350615340002,630.0281968,708.3660443880001,37881922.0,111.94264920338036,-1,0,-92087.58577044001,199078.07241565306,106990.48664521305,0.07107737219613292
2014-02-08,704.179225556,722.541836424,670.81265697,679.578138862,33844708.0,111.91265746680924,-1,0,-88345.15805206,199078.07241565306,110732.91436359307,0.03497906996899764
2014-02-09,674.1200582280001,725.3520220560001,666.9494935360001,687.314088924,28893017.0,112.05591045661568,-1,0,-89350.83156012,199078.07241565306,109727.24085553306,-0.009081974531600078
2014-02-10,686.562965162,702.8443287460001,536.1585535199999,688.4182184199999,32729300.0,112.21422376290022,-1,0,-89494.3683946,199078.07241565306,109583.70402105307,-0.001308123975057153
2014-02-11,688.9983416140001,714.6646698960001,636.4860187020001,675.110840662,32530109.0,112.3209147738534,-1,0,-87764.40928605999,199078.07241565306,111313.66312959307,0.015786645687826405
2014-02-12,673.979627184,683.4743409380001,642.216684696,652.543163334,44538280.0,112.24068382756104,-1,0,-84830.61123342,199078.07241565306,114247.46118223306,0.02635613607670443
2014-02-13,651.710844624,659.407133664,605.551711186,605.83889448,38591034.0,112.34723697610676,-1,0,-78759.05628240001,199078.07241565306,120319.01613325306,0.05314389386154864
